,Autor,Num. Pub.
0,Itamar Procaccia,40
1,Matt Visser,38
2,Michel Destrade,34
3,L. H. Ford,30
4,M. E. Cates,27
5,Markus Lazar,23
6,Suzanne M. Fielding,23
7,Stefano Zapperi,23
8,J. P. Wittmer,21
9,D. Sornette,21
10,Paul R. Anderson,21
11,Mark O. Robbins,21
12,Michael Zaiser,21
13,Jerzy Matyjasek,20
14,P. Claudin,19
15,P. Evesque,19
16,Julian H. Krolik,19
17,Guillaume Ovarlez,18
18,John F. Hawley,18
19,Ali R. Hadjesfandiari,17
20,M. Cristina Marchetti,17
21,Heinrich M. Jaeger,17
22,Thibaut Divoux,17
23,Sébastien Manneville,17
24,Eran Bouchbinder,17
25,James M. Stone,17
26,Luca Brandt,17
27,Daniel Bonn,16
28,Patrizio Neff,16
29,Jean-Louis Barrat,16
30,William A. Hiscock,16
31,Gary S. Grest,15
32,Gary F. Dargush,15
33,Akira Onuki,15
34,Jemal Guven,15
35,Heng Xiao,15
36,Eric Brown,14
37,Peter Sollich,14
38,Annette Zippelius,14
39,J. S. Langer,14
40,J. LLorca,14
41,Vijay A. Sethuraman,13
42,Kirsten Martens,13
43,J. Baschnagel,13
44,Yogesh M. Joshi,13
45,Raphael Blumenfeld,13
46,Alex Hansen,13
47,Ryoichi Yamamoto,13
48,M. Fuchs,13
49,P. Boolchand,13
50,Hisao Hayakawa,13
51,B. L. Hu,13
52,O. B. Zaslavskii,13
53,Kunihiko Kaneko,12
54,Reuven Segev,12
55,James P. Sethna,12
56,Bulbul Chakraborty,12
57,Supriyo Bandyopadhyay,12
58,Robert W. Style,12
59,Lasse Laurson,12
60,Taha Sochi,12
61,E. M. Terentjev,12
62,Romain Mari,12
63,Khanh Chau Le,12
64,Stefan Luding,12
65,Mario Liu,12
66,Mikko J. Alava,12
67,Valter Moretti,12
68,Kostas Skenderis,12
69,Xavier Chateau,11
70,F. C. MacKintosh,11
71,Eric R. Dufresne,11
72,Endre Süli,11
73,Kuo-Wei Huang,11
74,S. Deser,11
75,A. K. Sood,11
76,Edan Lerner,11
77,Damien Vandembroucq,11
78,Luca Cipelletti,11
79,F. Becattini,11
80,Jun Hu,11
81,Wayne Hu,11
82,P. Barat,11
83,Ryohei Seto,11
84,Enric Verdaguer,11
85,R. P. Woodard,11
86,E. A. Jagla,11
87,Hristu Culetu,11
88,T. Yanagida,11
89,Anaël Lemaître,10
90,Leonardo E. Silbert,10
91,Pradeep R. Guduru,10
92,J. -P. Bouchaud,10
93,Jayasimha Atulasimha,10
94,Konstantinos Papagelis,10
95,Costas Galiotis,10
96,Sebastien Manneville,10
97,Matthias Fuchs,10
98,Takahiro Hatano,10
99,G. Sardanashvily,10
100,Chun-Hsien Wu,10
101,M. R. Setare,10
102,Xiaoping Xie,10
103,Emil Mottola,10
104,Jeffrey F. Morris,10
105,Hans J. Herrmann,10
106,Srutarshi Pradhan,10
107,Martin van Hecke,10
108,Smarajit Karmakar,10
109,Jean-Noël Roux,10
110,Steven A. Balbus,10
111,P. Mukherjee,10
112,A. Sarkar,10
113,Karen E. Daniels,10
114,M. Micoulaut,10
115,Henri Gouin,10
116,Anna N. Morozovska,10
117,Philip J. Armitage,10
118,Surajit Sengupta,10
119,Madan Rao,10
120,Ulf-G. Meißner,10
121,Davide Marenduzzo,9
122,R. Gröger,9
123,Péter Dusán Ispánovity,9
124,J. Hure,9
125,Corey S. O'Hern,9
126,John Parthenios,9
127,Kazuhide Ichikawa,9
128,Akitomo Tachibana,9
129,Xiaoming Mao,9
130,Qin Xu,9
131,Abhinendra Singh,9
132,P. D. Olmsted,9
133,Brian P. Tighe,9
134,Martin Kunz,9
135,Ludovic Berthier,9
136,Shiladitya Banerjee,9
137,Andrea J. Liu,9
138,A. D. Drozdov,9
139,Elizabeth Winstanley,9
140,J. M. Brader,9
141,Massimo Pica Ciamarra,9
142,Christopher J. Fewster,9
143,Gareth H. McKinley,9
144,Matthieu Wyart,9
145,Eugene A. Eliseev,9
146,L. Mahadevan,9
147,Alberto Rosso,9
148,Martin G. Frasch,8
149,Davide Michieletto,8
150,Morton M. Denn,8
151,Ishan Srivastava,8
152,Michael Dennin,8
153,Philippe Coussot,8
154,Andrei Parnachev,8
155,André Rousseau,8
156,H. Xu,8
157,Raz Kupferman,8
158,R. P. Behringer,8
159,S. Teitel,8
160,Josef Málek,8
161,Gijsje H. Koenderink,8
162,Roy Maartens,8
163,W. Klein,8
164,T. -W. Lee,8
165,Fathollah Varnik,8
166,István Groma,8
167,Andrew P. Mackenzie,8
168,Clifford W. Hicks,8
169,Fred C. MacKintosh,8
170,Peter D. Olmsted,8
171,B. N. J. Persson,8
172,John D. Barrow,8
173,Luca Giomi,8
174,Giorgio Parisi,8
175,J. Segurado,8
176,Kimball A. Milton,8
177,Adrian C. Ottewill,8
178,T. Lookman,8
179,Miroslav Bulíček,8
180,Martin E. Pessah,8
181,E. Martínez-Pañeda,8
182,Amit Acharya,8
183,Cristian F. Moukarzel,8
184,H. J. Herrmann,8
185,Matthew R. Kuhn,8
186,G. Ananthakrishna,8
187,Joerg Rottler,8
188,T. C. Lubensky,8
189,L. Herrera,8
190,Francisco S. N. Lobo,8
191,Suman Chakraborty,8
192,Paul McFadden,8
193,Joshua E. S. Socolar,8
194,Stefan Hollands,8
195,Kuniyasu Saitoh,8
196,Robert M. Wald,8
197,Hai-Yang Cheng,8
198,M. -Carmen Miguel,8
199,Rodrick Wallace,7
200,Alessandro Fontana,7
201,Ray W. Ogden,7
202,Ning Xu,7
203,Ingo Münch,7
204,Jeremy B. Lechman,7
205,Pinaki Chaudhuri,7
206,Stéphane Avril,7
207,Didier Sornette,7
208,Davide Bigoni,7
209,Chinedum O. Osuji,7
210,Andrew N. Norris,7
211,Itai Cohen,7
212,Gregory L. Eyink,7
213,Emilio Martínez-Pañeda,7
214,Thomas A. Witten,7
215,Jürgen Horbach,7
216,Otakar Frank,7
217,Jean Sulem,7
218,Dierk Raabe,7
219,Virgil Optasanu,7
220,Tony Montesin,7
221,Jian-Xun Wang,7
222,Ivan Yotov,7
223,Kaushik Bhattacharya,7
224,Subhadeep Roy,7
225,Elie Raphael,7
226,Stefanos Papanikolaou,7
227,Gennady Mishuris,7
228,Nikolai V. Priezjev,7
229,Roberto Benzi,7
230,Catherine Barentin,7
231,Julie Goyon,7
232,Outi Tammisola,7
233,Efim A. Brener,7
234,Robert B. Mann,7
235,Shigenobu Hirose,7
236,A. Piccolroaz,7
237,François Boulogne,7
238,Howard A. Stone,7
239,Ranjini Bandyopadhyay,7
240,J. H. Krolik,7
241,Eanna E. Flanagan,7
242,P. J. Käpylä,7
243,Luca Amendola,7
244,Claus Heussinger,7
245,Sriram Ramaswamy,7
246,Raffaele Barretta,7
247,Francesco Marotti de Sciarra,7
248,Damian C. Swift,7
249,David J. Srolovitz,7
250,Jaime Marian,7
251,Mykel J. Kochenderfer,7
252,E. Clément,7
253,Alex J. Levine,7
254,Yimin Jiang,7
255,Victor Steinberg,7
256,Shubhadeep Mandal,7
257,Eric Lauga,7
258,Michael D. Graham,7
259,Detlef Lohse,7
260,Jacob B. Simon,7
261,Jean-Philippe Uzan,7
262,R. B. Mann,7
263,Joao Magueijo,7
264,Luc Blanchet,7
265,M. Sharif,7
266,S. Manneville,7
267,A. Colin,7
268,A. A. Saharian,7
269,Marta C. Antonelli,6
270,Enzo Orlandini,6
271,Jianhua Xing,6
272,Gerhard Gompper,6
273,Peter Csermely,6
274,Ismail Shahin,6
275,Manuela Kulaxizi,6
276,Francesco Dal Corso,6
277,C. Galiotis,6
278,Joachim Mathiesen,6
279,Wouter G. Ellenbroek,6
280,V. Vitek,6
281,Dapeng Bi,6
282,Allan F. Bower,6
283,I. Kriuchevskyi,6
284,Frank Jülicher,6
285,Jacques Prost,6
286,Michio Otsuki,6
287,Georgia Tsoukleri,6
288,P. H. Diamond,6
289,Emad Chaparian,6
290,J. C. Phillips,6
291,L. Angela Mihai,6
292,Hernan A. Makse,6
293,Chen Liu,6
294,Andrea Piccolroaz,6
295,Daniel L. Blair,6
296,D. A. Head,6
297,S. M. Fielding,6
298,Olivier Pitois,6
299,Nicolas Brantut,6
300,Prado Martin-Moruno,6
301,Vasily V. Bulatov,6
302,Peter Müller,6
303,Wim van Saarloos,6
304,Jacques Zylberg,6
305,Jacco H. Snoeijer,6
306,Mikael Beuthe,6
307,Emanuela Del Gado,6
308,Martin Z. Bazant,6
309,Fleurianne Bertrand,6
310,Jörg Rottler,6
311,Chaouqi Misbah,6
312,Luiza Angheluta,6
313,Thomas A. Roman,6
314,F. Weysser,6
315,K. R. Rajagopal,6
316,N. J. Turner,6
317,Chi-kwan Chan,6
318,Jin-Long Wu,6
319,Brice Saint-Michel,6
320,Alessandro Fabbri,6
321,J. P. Krisch,6
322,Randy H. Ewoldt,6
323,Giacomo Po,6
324,Antoni Planes,6
325,Philip Nelson,6
326,Per Kraus,6
327,Laurent Pizzagalli,6
328,A. Brandenburg,6
329,P. M. Derlet,6
330,Rong-Xin Miao,6
331,Kin-Wang Ng,6
332,Anurag Gupta,6
333,Abhinav Sharma,6
334,Alessandro Reali,6
335,Juan Olives,6
336,Edmund Tarleton,6
337,Adrián Lozano-Durán,6
338,Sabine H. L. Klapp,6
339,David Dye,6
340,Nicola Pugno,6
341,Sergio Ciliberto,6
342,Paul M. Goldbart,6
343,Philippe Marcq,6
344,Alcides Garat,6
345,John W. Barrett,6
346,Antoine Folacci,6
347,Maya D. Glinchuk,6
348,Jennie Traschen,6
349,Vincenzo Vitelli,6
350,Zhi-Feng Huang,6
351,Aleksey D. Drozdov,6
352,Miquel Dorca,6
353,Christiane Caroli,6
354,Sidney R. Nagel,6
355,Jerry G. Murphy,6
356,Kris Beckwith,6
357,E. Verdaguer,6
358,Adam Levi,6
359,Michael E. Cates,6
360,Tamer A. Zaki,6
361,Jean-Marc Richard,6
362,W. Prellier,6
363,Paolo Moretti,6
364,Rabin Banerjee,6
365,Dominic Vella,6
366,Namiko Mitarai,5
367,Xi Chen,5
368,Buddhapriya Chakrabarti,5
369,Boris I. Shraiman,5
370,V. A. Levashov,5
371,Pasquale Ciarletta,5
372,Ken Sekimoto,5
373,Ionel-Dumitrel Ghiba,5
374,Angela Madeo,5
375,Sergei Sergeenkov,5
376,Michael Twardos,5
377,Lu Wang,5
378,Robin Karlsson,5
379,J. -L. Barrat,5
380,Tom Shearer,5
381,Summer Shahzad,5
382,Shin-ichi Sasa,5
383,Eran Sharon,5
384,Jean-Francois Joanny,5
385,Loic Vanel,5
386,Eric Clément,5
387,Akira Furukawa,5
388,Bin Liu,5
389,Vít Průša,5
390,Ian A. Frigaard,5
391,Zhiwen Zhao,5
392,G. Ouillon,5
393,Siva P. V. Nadimpalli,5
394,Valery I. Levitas,5
395,B. Kaviraj,5
396,A. Fabbri,5
397,Massimo Giovannini,5
398,Benny Davidovitch,5
399,Michael J. Shelley,5
400,Giuseppe Zurlo,5
401,Siavash Ghabezloo,5
402,Laura Raceanu,5
403,Peter Constantin,5
404,R. Santos-Güemes,5
405,Eldar Khattatov,5
406,Audun Skaugen,5
407,A. I. Leonov,5
408,V. S. Volkov,5
409,M. L. Falk,5
410,Jie Zhang,5
411,Robert P. Behringer,5
412,R. Benzi,5
413,S. Succi,5
414,Pierre Ronceray,5
415,Martin Lenz,5
416,Philip L. Lederer,5
417,Joachim Schöberl,5
418,Tobias J. Kippenberg,5
419,Mathieu Bauchy,5
420,Vikram Rathee,5
421,Angus J. Wilkinson,5
422,Mauro Sbragaglia,5
423,Federico Toschi,5
424,Jonathan Barés,5
425,J. M. Schwarz,5
426,Julien Scheibert,5
427,Valery Ilyin,5
428,Shu-ichiro Inutsuka,5
429,Jan Martin Nordbotten,5
430,Florin Adrian Radu,5
431,Leiting Dong,5
432,Satya N. Atluri,5
433,Fabian Barras,5
434,Jean-François Molinari,5
435,O. I. Velichko,5
436,Wm. G. Hoover,5
437,Omer Blaes,5
438,Arash Yavari,5
439,Timm Krüger,5
440,Feng Liu,5
441,Stéphane Roux,5
442,P. Samarasekara,5
443,Robert J. Martin,5
444,Bang-Gui Liu,5
445,Masakiyo Kitazawa,5
446,Axel Brandenburg,5
447,Amin Doostmohammadi,5
448,Hiizu Nakanishi,5
449,I. V. Tokatly,5
450,Graeme W. Milton,5
451,T. Sano,5
452,Hui-Hui Dai,5
453,G. Petekidis,5
454,S. U. Egelhaaf,5
455,Stefan Sandfeld,5
456,C. S. O'Hern,5
457,R. W. Tucker,5
458,E. N. Glass,5
459,J. P. Gollub,5
460,Arkady I. Leonov,5
461,John B. Rundle,5
462,Julien Godet,5
463,Pierre Beauchamp,5
464,Th. Voigtmann,5
465,Laurent Ponson,5
466,J. B. Rundle,5
467,Carl H. Gibson,5
468,Nicolas Creton,5
469,Giuseppe Saccomandi,5
470,Dariusz Tryniecki,5
471,Thomas Gibaud,5
472,Christopher Ness,5
473,Seema Satin,5
474,Jen-Tsung Hsiang,5
475,Rui Ma,5
476,M. Ballauff,5
477,Lev Truskinovsky,5
478,Lei Xu,5
479,Jorge Viñals,5
480,Takayoshi Sano,5
481,Alexandre Nicolas,5
482,G. Sainath,5
483,B. K. Choudhary,5
484,A. Chateauminois,5
485,Parviz Moin,5
486,Pierre Delage,5
487,Daulet Izbassarov,5
488,Hubert Klahr,5
489,M. I. Katsnelson,5
490,Klaus Kroy,5
491,Jeppe C. Dyre,5
492,G. Mussardo,5
493,D. Anselmi,5
494,C. Providencia,5
495,J. da Providencia,5
496,Dumitru Astefanesei,5
497,Christopher P. Herzog,5
498,Yaron Oz,5
499,Yuri Levin,5
500,Michael Ortiz,5
501,G. I. Ogilvie,5
502,Renaud Toussaint,5
503,Martin Michael Mueller,5
504,Markus Deserno,5
505,Krishna Rajagopal,5
506,Anh-Minh Tang,5
507,Yu-Jun Cui,5
508,G. Ruediger,5
509,Alain Goriely,5
510,Sayan Das,5
511,Adam Bzowski,5
512,Sayantan Majumdar,5
513,Haigang Li,5
514,Eliot Quataert,5
515,Albert Roura,5
516,Silviu S. Pufu,5
517,G. Ovarlez,5
518,Christos G. Tsagas,5
519,V. A. De Lorenci,5
520,Pierre Kerfriden,5
521,Mark Van Raamsdonk,5
522,Shai M. Chester,5
523,Saswati Ganguly,5
524,Ricardo Ruiz-Baier,5
525,Hanno Gottschalk,5
526,Armando Rastelli,5
527,E. Sokatchev,5
528,David R. Nelson,5
529,Andrew Strominger,5
530,S. Ciliberto,5
531,Zvonimir Dogic,5
532,Kai Sun,5
533,Mitchell C. Begelman,5
534,M. Yokoyama,5
535,H. Amitsuka,5
536,Ken Kamrin,5
537,Bernard S. Kay,5
538,C. Goldenberg,5
539,I. Goldhirsch,5
540,Amos Ori,5
541,Shane W. Davis,5
542,Marco Edoardo Rosti,5
543,S. M. Bilenky,5
544,J. -F. Yang,5
545,Naresh Dadhich,5
546,Giuseppe Tomassetti,5
547,B. Mercey,5
548,Alessandro Vespignani,5
549,P. A. Hogan,5
550,Rosario Martin,5
551,Sayan Kar,5
552,Kostya S. Novoselov,5
553,Denis Bartolo,5
554,A. Chatterjee,5
555,Michael Lublinsky,5
556,C. Caroli,5
557,Ferenc Kun,5
558,Benson Way,5
559,M. E. J. Newman,5
560,Shunichi Tsuge,5
561,J. deC. Christiansen,5
562,K. Tobe,5
563,M. Kawasaki,5
564,A. Rubbia,5
565,A. L. Kataev,5
566,E. Oset,5
567,Ping Wang,4
568,Chaoming Song,4
569,Hang Zhang,4
570,Anirvan M. Sengupta,4
571,Xiao-Jun Tian,4
572,Verena Wolf,4
573,Jun Li,4
574,Alessio Filippetti,4
575,Vincenzo Fiorentini,4
576,Yangkun Du,4
577,Chaofeng Lü,4
578,Weiqiu Chen,4
579,John F. Brady,4
580,Abdoulaye Fall,4
581,Artur L. Gower,4
582,Becca Thomases,4
583,Robert D. Guy,4
584,Leonid S. Sinev,4
585,Andrei Khrennikov,4
586,Thierry Rabilloud,4
587,Nikil Dutt,4
588,D. W. Snoke,4
589,C. Oniciuc,4
590,P. Muller,4
591,Michael J. Chon,4
